CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2018;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Abandono Voluntario;Hombres;0;6;1;0;;;27/09/2020
2018;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;27/09/2020
2018;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Graduado;Hombres;42;0;0;0;4.54;93.33;27/09/2020
2018;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Graduado;Mujeres;20;0;0;0;4.15;98.12;27/09/2020
2018;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Traslado a otra Universidad;Hombres;0;0;0;3;;;27/09/2020
2018;Huesca;Grado: Enfermería;Grado;Abandono Voluntario;Hombres;0;2;2;0;;;27/09/2020
2018;Huesca;Grado: Enfermería;Grado;Abandono Voluntario;Mujeres;0;4;2;0;;;27/09/2020
2018;Huesca;Grado: Enfermería;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;2;0;;;27/09/2020
2018;Huesca;Grado: Enfermería;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;27/09/2020
2018;Huesca;Grado: Enfermería;Grado;Graduado;Hombres;10;0;0;0;4.12;95.20;27/09/2020
2018;Huesca;Grado: Enfermería;Grado;Graduado;Mujeres;39;0;0;0;4.00;99.33;27/09/2020
2018;Huesca;Grado: Enfermería;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;27/09/2020
2018;Huesca;Grado: Gestión y Administración Pública;Grado;Abandono Voluntario;Hombres;0;3;2;0;;;27/09/2020
2018;Huesca;Grado: Gestión y Administración Pública;Grado;Abandono Voluntario;Mujeres;0;13;7;0;;;27/09/2020
2018;Huesca;Grado: Gestión y Administración Pública;Grado;Graduado;Hombres;8;0;0;0;5.50;86.88;27/09/2020
2018;Huesca;Grado: Gestión y Administración Pública;Grado;Graduado;Mujeres;6;0;0;0;;80.37;27/09/2020
2018;Huesca;Grado: Gestión y Administración Pública;Grado;Incumple Régimen de permanencia;Mujeres;0;1;1;0;;;27/09/2020
2018;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Abandono Voluntario;Hombres;0;10;3;0;;;27/09/2020
2018;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Abandono Voluntario;Mujeres;0;4;0;0;;;27/09/2020
2018;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;27/09/2020
2018;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Graduado;Hombres;9;0;0;0;6.14;76.31;27/09/2020
2018;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Graduado;Mujeres;8;0;0;0;5.33;76.20;27/09/2020
2018;Huesca;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Hombres;0;3;2;0;;;27/09/2020
2018;Huesca;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Mujeres;0;17;8;0;;;27/09/2020
2018;Huesca;Grado: Magisterio en Educación Infantil;Grado;Graduado;Hombres;5;0;0;0;4.50;93.39;27/09/2020
2018;Huesca;Grado: Magisterio en Educación Infantil;Grado;Graduado;Mujeres;89;0;0;0;4.22;95.77;27/09/2020
2018;Huesca;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Hombres;0;13;2;0;;;27/09/2020
2018;Huesca;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Mujeres;0;15;6;0;;;27/09/2020
2018;Huesca;Grado: Magisterio en Educación Primaria;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;27/09/2020
2018;Huesca;Grado: Magisterio en Educación Primaria;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;1;0;;;27/09/2020
2018;Huesca;Grado: Magisterio en Educación Primaria;Grado;Graduado;Hombres;36;0;0;0;4.97;85.54;27/09/2020
2018;Huesca;Grado: Magisterio en Educación Primaria;Grado;Graduado;Mujeres;76;0;0;0;4.53;91.32;27/09/2020
2018;Huesca;Grado: Medicina;Grado;Abandono Voluntario;Hombres;0;2;2;0;;;27/09/2020
2018;Huesca;Grado: Medicina;Grado;Abandono Voluntario;Mujeres;0;2;2;0;;;27/09/2020
2018;Huesca;Grado: Medicina;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;27/09/2020
2018;Huesca;Grado: Medicina;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;27/09/2020
2018;Huesca;Grado: Medicina;Grado;Traslado a otra Universidad;Mujeres;0;0;0;5;;;27/09/2020
2018;Huesca;Grado: Nutrición Humana y Dietética;Grado;Abandono Voluntario;Hombres;0;9;4;0;;;27/09/2020
2018;Huesca;Grado: Nutrición Humana y Dietética;Grado;Abandono Voluntario;Mujeres;0;6;2;0;;;27/09/2020
2018;Huesca;Grado: Nutrición Humana y Dietética;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;27/09/2020
2018;Huesca;Grado: Nutrición Humana y Dietética;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;27/09/2020
2018;Huesca;Grado: Nutrición Humana y Dietética;Grado;Graduado;Hombres;14;0;0;0;4.73;94.04;27/09/2020
2018;Huesca;Grado: Nutrición Humana y Dietética;Grado;Graduado;Mujeres;30;0;0;0;4.85;90.14;27/09/2020
2018;Huesca;Grado: Nutrición Humana y Dietética;Grado;Traslado a otra Universidad;Hombres;0;0;0;2;;;27/09/2020
2018;Huesca;Grado: Nutrición Humana y Dietética;Grado;Traslado a otra Universidad;Mujeres;0;0;0;4;;;27/09/2020
2018;Huesca;Grado: Odontología;Grado;Abandono Voluntario;Hombres;0;1;0;0;;;27/09/2020
2018;Huesca;Grado: Odontología;Grado;Abandono Voluntario;Mujeres;0;2;1;0;;;27/09/2020
2018;Huesca;Grado: Odontología;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;2;0;;;27/09/2020
2018;Huesca;Grado: Odontología;Grado;Graduado;Hombres;10;0;0;0;5.09;95.91;27/09/2020
2018;Huesca;Grado: Odontología;Grado;Graduado;Mujeres;17;0;0;0;5.00;99.23;27/09/2020
2018;Huesca;Grado: Odontología;Grado;Traslado a otra Universidad;Mujeres;0;0;0;2;;;27/09/2020
2018;Huesca;Ingeniero Agrónomo;Licenciatura o equivalente;Abandono Voluntario;Hombres;0;2;0;0;;;27/09/2020
2018;Huesca;Ingeniero Agrónomo;Licenciatura o equivalente;Abandono Voluntario;Mujeres;0;1;0;0;;;27/09/2020
2018;Huesca;Máster: Dirección y planificación del turismo;Máster;Abandono Voluntario;Hombres;0;4;2;0;;;27/09/2020
2018;Huesca;Máster: Dirección y planificación del turismo;Máster;Graduado;Hombres;4;0;0;0;2.00;72.07;27/09/2020
