CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;PRELA_CONVO_NOTA_DEF;NOTA_CORTE_DEFINITIVA_JULIO;NOTA_CORTE_DEFINITIVA_SEPTIEMBRE;FECHA_ACTUALIZACION
2016;Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Septiembre;5.000;5.000;29/04/2018
2016;Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Julio;10.236;;29/04/2018
2016;Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Julio;9.027;;29/04/2018
2016;Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Julio;9.275;;29/04/2018
2016;Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Septiembre;5.000;5.000;29/04/2018
2016;Psicología;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Julio;8.097;;29/04/2018
2016;Filosofía;Zaragoza;Facultad de Filosofía y Letras;Septiembre;5.000;5.000;29/04/2018
2016;Periodismo;Zaragoza;Facultad de Filosofía y Letras;Julio;9.914;;29/04/2018
2016;Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;Septiembre;5.000;5.000;29/04/2018
2016;Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;Julio;10.632;;29/04/2018
2016;Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;Julio;7.750;;29/04/2018
2016;Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Septiembre;5.000;5.000;29/04/2018
2016;Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;Julio;8.795;;29/04/2018
2016;Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;Julio;8.954;;29/04/2018
2016;Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;Julio;8.990;;29/04/2018
2016;Geología;Zaragoza;Facultad de Ciencias;Julio;5.000;;29/04/2018
2016;Óptica y Optometría;Zaragoza;Facultad de Ciencias;Julio;5.710;;29/04/2018
2016;Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;Julio;8.406;;29/04/2018
2016;Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;Julio;6.435;;29/04/2018
2016;Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Septiembre;5.000;5.000;29/04/2018
2016;Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;Julio;8.590;;29/04/2018
2016;Magisterio en Educación Infantil;Huesca;Facultad de Ciencias Humanas y de la Educación;Julio;5.000;6.926;29/04/2018
