CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;PRELA_CONVO_NOTA_DEF;NOTA_CORTE_DEFINITIVA_JULIO;NOTA_CORTE_DEFINITIVA_SEPTIEMBRE;FECHA_ACTUALIZACION
2016;Magisterio en Educación Infantil;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Septiembre;5.000;5.000;29/04/2018
2016;Medicina;Zaragoza;Facultad de Medicina;Julio;12.382;;29/04/2018
2016;Medicina;Huesca;Facultad de Ciencias de la Salud y del Deporte;Julio;12.236;;29/04/2018
2016;Estudios Clásicos;Zaragoza;Facultad de Filosofía y Letras;Septiembre;5.000;5.000;29/04/2018
2016;Estudios Ingleses;Zaragoza;Facultad de Filosofía y Letras;Julio;5.000;;29/04/2018
2016;Filología Hispánica;Zaragoza;Facultad de Filosofía y Letras;Septiembre;5.000;5.000;29/04/2018
2016;Historia;Zaragoza;Facultad de Filosofía y Letras;Septiembre;5.000;5.000;29/04/2018
2016;Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;Septiembre;5.000;5.000;29/04/2018
2016;Física;Zaragoza;Facultad de Ciencias;Julio;9.814;;29/04/2018
2016;Biotecnología;Zaragoza;Facultad de Ciencias;Julio;11.672;;29/04/2018
2016;Matemáticas;Zaragoza;Facultad de Ciencias;Julio;8.148;;29/04/2018
2016;Química;Zaragoza;Facultad de Ciencias;Septiembre;5.000;5.000;29/04/2018
2016;Nutrición Humana y Dietética;Huesca;Facultad de Ciencias de la Salud y del Deporte;Julio;5.709;;29/04/2018
2016;Odontología;Huesca;Facultad de Ciencias de la Salud y del Deporte;Julio;11.541;;29/04/2018
2016;Veterinaria;Zaragoza;Facultad de Veterinaria;Julio;10.570;;29/04/2018
2016;Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;Septiembre;5.000;9.126;29/04/2018
2016;Administración y Dirección de Empresas;Huesca;Facultad de Empresa y Gestión Pública;Julio;5.000;;29/04/2018
2016;Administración y Dirección de Empresas;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Julio;5.000;;29/04/2018
2016;Derecho;Zaragoza;Facultad de Derecho;Julio;7.607;;29/04/2018
2016;Economía;Zaragoza;Facultad de Economía y Empresa;Septiembre;5.000;5.000;29/04/2018
2016;Finanzas y Contabilidad;Zaragoza;Facultad de Economía y Empresa;Septiembre;5.000;5.000;29/04/2018
2016;Geografía y Ordenación del Territorio;Zaragoza;Facultad de Filosofía y Letras;Septiembre;5.000;5.000;29/04/2018
2016;Gestión y Administración Pública;Huesca;Facultad de Empresa y Gestión Pública;Julio;5.000;;29/04/2018
2016;Marketing e Investigación de Mercados;Zaragoza;Facultad de Economía y Empresa;Septiembre;5.000;7.685;29/04/2018
2016;Relaciones Laborales y Recursos Humanos;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Septiembre;5.000;6.156;29/04/2018
2016;Turismo;Zaragoza;Escuela Universitaria de Turismo de Zaragoza;Julio;5.000;;29/04/2018
2016;Ingeniería Agroalimentaria y del Medio Rural;Huesca;Escuela Politécnica Superior;Julio;5.000;;29/04/2018
2016;Ingeniería Civil;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Julio;5.000;;29/04/2018
2016;Arquitectura Técnica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Julio;5.000;;29/04/2018
2016;Ingeniería de Organización Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Julio;5.000;5.000;29/04/2018
2016;Ingeniería de Tecnologías Industriales;Zaragoza;Escuela de Ingeniería y Arquitectura;Julio;5.000;;29/04/2018
2016;Ingeniería de Tecnologías y Servicios de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Julio;5.000;;29/04/2018
2016;Ingeniería Electrica;Zaragoza;Escuela de Ingeniería y Arquitectura;Septiembre;5.000;5.000;29/04/2018
2016;Ingeniería Electrónica y Automática;Zaragoza;Escuela de Ingeniería y Arquitectura;Septiembre;5.000;5.000;29/04/2018
2016;Ingeniería Electrónica y Automática;Teruel;Escuela Universitaria Politécnica de Teruel;Julio;5.000;;29/04/2018
2016;Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Julio;8.932;;29/04/2018
2016;Ingeniería Informática;Teruel;Escuela Universitaria Politécnica de Teruel;Septiembre;5.000;5.000;29/04/2018
2016;Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;Septiembre;5.000;5.000;29/04/2018
2016;Ingeniería Mecatrónica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Julio;5.000;;29/04/2018
2016;Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;Septiembre;5.000;5.000;29/04/2018
2016;Lenguas Modernas;Zaragoza;Facultad de Filosofía y Letras;Julio;5.000;;29/04/2018
2016;Programa conjunto ADE/Derecho;Zaragoza;Facultad de Derecho;Julio;11.393;;29/04/2018
2016;Estudios en Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;Julio;5.272;;29/04/2018
