CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2016;Facultad de Filosofía y Letras;Historia;Grado;594;140;165;85;0;0;0;53;119;7;31272.00;528.00;4.67;88.98;76.99;92.40;0.00;0.00;29/04/2018
2016;Facultad de Filosofía y Letras;Historia del Arte;Grado;339;81;120;33;0;0;0;37;34;11;17762.00;714.50;4.85;81.43;66.04;85.65;0.00;0.00;29/04/2018
2016;Facultad de Ciencias;Física;Grado;284;81;80;44;0;0;0;58;5;18;15887.00;714.50;4.69;84.50;75.26;87.31;0.00;0.00;29/04/2018
2016;Facultad de Ciencias;Biotecnología;Grado;281;66;66;63;0;0;0;66;4;25;16550.00;702.50;4.04;96.37;92.91;98.69;0.00;0.00;29/04/2018
2016;Facultad de Ciencias;Matemáticas;Grado;221;64;66;29;0;0;0;23;8;12;12457.00;227.00;5.43;85.59;66.61;76.74;0.00;0.00;29/04/2018
2016;Facultad de Ciencias;Química;Grado;610;142;150;87;0;0;0;102;9;18;34169.00;670.50;5.05;78.78;70.09;82.95;0.00;0.00;29/04/2018
2016;Facultad de Ciencias de la Salud y del Deporte;Nutrición Humana y Dietética;Grado;246;65;65;29;4;2;2;41;1;4;13949.00;797.00;4.60;90.97;82.86;90.74;0.00;0.00;29/04/2018
2016;Facultad de Ciencias de la Salud y del Deporte;Odontología;Grado;170;35;36;27;0;0;0;36;;4;10336.00;416.00;5.04;94.96;92.52;98.48;0.00;0.00;29/04/2018
2016;Facultad de Veterinaria;Veterinaria;Grado;797;145;146;142;0;0;0;121;23;42;47531.00;1957.00;5.31;92.03;87.65;91.86;0.00;0.00;29/04/2018
2016;Facultad de Economía y Empresa;Administración y Dirección de Empresas;Grado;1685;393;400;328;38;0;12;400;173;76;89115.00;7284.50;5.20;81.75;70.64;88.18;0.00;0.00;29/04/2018
2016;Facultad de Empresa y Gestión Pública;Administración y Dirección de Empresas;Grado;260;50;65;28;33;8;10;72;16;10;12250.50;2269.00;5.29;71.76;53.61;85.57;0.00;0.00;29/04/2018
2016;Facultad de Ciencias Sociales y Humanas de Teruel;Administración y Dirección de Empresas;Grado;158;34;45;19;0;0;0;29;6;2;7755.00;105.50;5.83;85.12;75.72;85.55;0.00;0.00;29/04/2018
2016;Facultad de Derecho;Derecho;Grado;1381;311;308;330;0;0;0;382;69;69;80398.50;4614.00;4.83;87.54;81.29;89.93;0.00;0.00;29/04/2018
2016;Facultad de Economía y Empresa;Economía;Grado;822;193;200;115;0;0;0;170;85;19;42632.00;2546.00;5.34;75.82;61.95;82.18;0.00;0.00;29/04/2018
2016;Facultad de Economía y Empresa;Finanzas y Contabilidad;Grado;516;141;150;67;0;0;0;95;27;10;26876.00;1951.50;5.02;81.64;66.14;85.97;0.00;0.00;29/04/2018
2016;Facultad de Filosofía y Letras;Geografía y Ordenación del Territorio;Grado;195;42;50;36;0;0;0;28;40;6;10308.00;203.50;4.91;92.21;79.08;89.14;0.00;0.00;29/04/2018
2016;Facultad de Empresa y Gestión Pública;Gestión y Administración Pública;Grado;79;15;40;7;10;2;2;31;3;0;3126.00;1148.00;4.00;90.88;70.94;92.90;0.00;0.00;29/04/2018
2016;Facultad de Economía y Empresa;Marketing e Investigación de Mercados;Grado;600;145;150;99;0;0;0;127;57;24;32383.00;2412.50;5.11;82.68;70.44;84.08;0.00;0.00;29/04/2018
2016;Facultad de Ciencias Sociales y del Trabajo;Relaciones Laborales y Recursos Humanos;Grado;792;177;180;93;16;1;7;127;22;23;40248.00;1690.00;5.28;82.04;74.19;88.00;0.00;0.00;29/04/2018
2016;Escuela Universitaria de Turismo de Zaragoza;Turismo;Grado;257;64;80;43;2;0;0;55;15;11;13980.00;668.50;4.60;88.47;76.30;91.53;0.00;0.00;29/04/2018
2016;Escuela Politécnica Superior;Ingeniería Agroalimentaria y del Medio Rural;Grado;161;36;50;10;3;2;1;40;2;6;8279.00;1180.00;5.83;74.02;58.45;73.90;0.00;0.00;29/04/2018
2016;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Ingeniería Civil;Grado;105;10;60;21;8;0;2;25;21;2;4023.00;648.50;6.08;81.88;59.32;75.71;0.00;0.00;29/04/2018
2016;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Arquitectura Técnica;Grado;116;14;60;23;4;3;1;41;17;5;4511.00;1684.50;6.00;86.59;61.97;76.88;0.00;0.00;29/04/2018
2016;Escuela Universitaria Politécnica de la Almunia de Doña Godina;Ingeniería de Organización Industrial;Grado;124;41;60;15;0;0;0;61;24;4;5800.00;2058.00;5.00;90.04;70.59;84.74;0.00;0.00;29/04/2018
2016;Centro Universitario de la Defensa de Zaragoza;Ingeniería de Organización Industrial;Grado;1172;0;;182;0;0;0;133;;0;57198.00;1828.50;5.40;89.57;89.22;90.53;;;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniería de Tecnologías Industriales;Grado;749;177;180;124;0;0;0;143;12;63;42239.00;1356.00;4.80;78.63;68.22;86.32;0.00;0.00;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniería de Tecnologías y Servicios de Telecomunicación;Grado;259;85;90;30;0;0;0;45;10;7;14078.00;399.50;5.23;78.03;61.27;81.83;0.00;0.00;29/04/2018
