CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2016;Almunia de Doña Godina (La);Arquitectura Técnica;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;8;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Arquitectura Técnica;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;2;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Abandono Voluntario;Hombres;0;11;4;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Abandono Voluntario;Mujeres;0;5;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Graduado;Hombres;13;0;0;0;6.50;72.13;29/04/2018
2016;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Graduado;Mujeres;10;0;0;0;5.71;79.50;29/04/2018
2016;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Abandono Voluntario;Hombres;0;7;1;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Abandono Voluntario;Mujeres;0;5;2;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Graduado;Hombres;12;0;0;0;6.14;74.99;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Graduado;Mujeres;9;0;0;0;6.00;76.44;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Incumple Régimen de permanencia;Hombres;0;3;2;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Incumple Régimen de permanencia;Mujeres;0;1;1;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Hombres;0;6;4;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería de Organización Industrial;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería de Organización Industrial;Grado;Graduado;Hombres;7;0;0;0;4.75;96.36;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería de Organización Industrial;Grado;Graduado;Mujeres;8;0;0;0;5.20;77.32;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería de Organización Industrial;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería Mecatrónica;Grado;Abandono Voluntario;Hombres;0;15;5;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería Mecatrónica;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería Mecatrónica;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería Mecatrónica;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería Mecatrónica;Grado;Graduado;Hombres;26;0;0;0;4.72;92.17;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniería Mecatrónica;Grado;Incumple Régimen de permanencia;Hombres;0;5;2;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniero Técnico Agrícola;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;1;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniero Técnico Agrícola;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;2;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniero Técnico en Electrónica Industrial;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;2;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniero Técnico en Electrónica Industrial;Diplomatura o equivalente;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniero Técnico en Informática de Sistemas;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;13;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniero Técnico en Informática de Sistemas;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;5;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniero Técnico en Obras Públicas, Esp. Construcciones Civiles;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;1;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniero Técnico Industrial, Especialidad Mecánica;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;3;0;0;;;29/04/2018
2016;Almunia de Doña Godina (La);Ingeniero Técnico Industrial, Especialidad Mecánica;Diplomatura o equivalente;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;29/04/2018
2016;Huesca;Administración y Dirección de Empresas;Grado;Abandono Voluntario;Hombres;0;29;8;0;;;29/04/2018
2016;Huesca;Administración y Dirección de Empresas;Grado;Abandono Voluntario;Mujeres;0;16;4;0;;;29/04/2018
2016;Huesca;Administración y Dirección de Empresas;Grado;Cambio de estudios sin simultaneidad;Hombres;0;3;3;0;;;29/04/2018
2016;Huesca;Administración y Dirección de Empresas;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;1;0;;;29/04/2018
2016;Huesca;Administración y Dirección de Empresas;Grado;Graduado;Hombres;10;0;0;0;5.71;81.49;29/04/2018
2016;Huesca;Administración y Dirección de Empresas;Grado;Graduado;Mujeres;18;0;0;0;5.00;88.60;29/04/2018
2016;Huesca;Ciencias Ambientales;Grado;Abandono Voluntario;Hombres;0;9;2;0;;;29/04/2018
2016;Huesca;Ciencias Ambientales;Grado;Abandono Voluntario;Mujeres;0;7;0;0;;;29/04/2018
2016;Huesca;Ciencias Ambientales;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;29/04/2018
2016;Huesca;Ciencias Ambientales;Grado;Graduado;Hombres;18;0;0;0;5.24;82.71;29/04/2018
2016;Huesca;Ciencias Ambientales;Grado;Graduado;Mujeres;24;0;0;0;5.45;82.83;29/04/2018
