CURSO_ACADEMICO;NOMBRE_PROGRAMA_MOVILIDAD;NOMBRE_AREA_ESTUDIOS_MOV;CENTRO;IN_OUT;NOMBRE_IDIOMA_NIVEL_MOVILIDAD;PAIS_UNIVERSIDAD_ACUERDO;UNIVERSIDAD_ACUERDO;PLAZAS_OFERTADAS_ALUMNOS;PLAZAS_ASIGNADAS_ALUMNOS_OUT;FECHA_ACTUALIZACION
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Polonia;Szkola Wyzsza Psychologii Spolecznej (Polonia);2;4;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Portugal;Instituto Politécnico Do Porto (Portugal);2;4;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Reino Unido;Loughborough University (Reino Unido);4;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Suecia;Luleå Tekniska Universitet (Suecia);1;1;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Suecia;Stiftelsen Högskolan I Jönköping (Suecia);2;3;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B2 (Nivel avanzado);Finlandia;Savonia University Of Applied Sciences (Finlandia);2;4;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B2 (Nivel avanzado);Suecia;Mälardalens Högskola (Suecia);2;2;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;ITALIANO - B1 (Nivel intermedio);Italia;Politecnico Di Torino (Italia);2;2;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;No Informado;Italia;Università Degli Studi Di Camerino (Italia);2;1;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;OTROS - B1 (Nivel intermedio);Polonia;Politechnika Poznanska (Polonia);2;3;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite Bordeaux Montaigne (Francia);0;0;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;IN;INGLÉS - B1 (Nivel intermedio);Italia;Accademia Di Belle Arti Di Brera (Italia);3;0;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;IN;INGLÉS - B1 (Nivel intermedio);Turquía;Mustafa Kemal University (Turquía);3;0;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;FRANCÉS - B1 (Nivel intermedio);Francia;Universite Bordeaux Montaigne (Francia);2;2;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;FRANCÉS - B1 (Nivel intermedio);Francia;Universite De Haute-Bretagne (Rennes Ii) (Francia);2;2;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;GRIEGO - B2 (Nivel avanzado);Grecia;Technologiko Ekpedeftiko Idrima - Athinas (Grecia);2;0;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;INGLÉS - B1 (Nivel intermedio);Bélgica;Academie Royale Des Beaux-Arts De Bruxelles (Bélgica);2;0;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;INGLÉS - B1 (Nivel intermedio);Italia;Accademia Di Belle Arti Di Palermo (Italia);2;2;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;INGLÉS - B1 (Nivel intermedio);Portugal;Universidade De Coimbra (Portugal);2;0;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;INGLÉS - B1 (Nivel intermedio);Portugal;Instituto Politécnico De Coimbra (Portugal);2;1;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;INGLÉS - B1 (Nivel intermedio);Portugal;Escola Universitaria Das Artes De Coimbra (Portugal);2;0;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;INGLÉS - B1 (Nivel intermedio);Reino Unido;Loughborough University (Reino Unido);4;2;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;INGLÉS - B1 (Nivel intermedio);Turquía;Mustafa Kemal University (Turquía);3;0;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;INGLÉS - B1 (Nivel intermedio);Turquía;Sakarya Üniversitesi (Turquía);3;0;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;INGLÉS - B1 (Nivel intermedio);Turquía;Kocaeli Universitesi (Turquía);2;0;29/04/2018
2016;ERASMUS;0213-Bellas artes;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;No Informado;Italia;Accademia Di Belle Arti Di Brera (Italia);3;0;29/04/2018
2016;ERASMUS;02.2-Diseño de interiores;Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Della Calabria (Italia);3;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Escuela de Doctorado;OUT;FRANCÉS - B2 (Nivel avanzado);Francia;Universite De Pau Et Des Pays De L'Adour (Francia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Ciencias Sociales y Humanas de Teruel;OUT;No Informado;Francia;Universite De Limoges (Francia);0;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Alemania;Universität Potsdam (Alemania);1;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Alemania;Freie Universität Berlin (Alemania);0;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Alemania;Westfälische Wilhelms-Universität Münster (Alemania);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite De Pau Et Des Pays De L'Adour (Francia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite De Paris-Sorbonne (Paris Iv) (Francia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite De Toulouse - Jean Jaurès (Francia);3;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite De Picardie Jules Verne (Francia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite Bordeaux Montaigne (Francia);3;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Grecia;Ionio Panepistimio (Grecia);1;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Grecia;Elliniko Anoikto Panepistimio - Hellenic Open University (Grecia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Roma 'Tor Vergata' (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi 'G. D'Annunzio' Di Chieti (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Siena (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Sassari (Italia);2;0;29/04/2018
2016;ERASMUS;022-Humanidades (excepto idiomas);Facultad de Filosofía y Letras;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Verona (Italia);2;0;29/04/2018
