CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2016;PD en Ciencias de la antigüedad;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;50;16;21;32.00;29/04/2018
2016;PD Estudios ingleses;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;12;11;13;91.67;29/04/2018
2016;PD Literaturas hispánicas;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;6;10;30.00;29/04/2018
2016;PD Filosofía;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;48;1;4;2.08;29/04/2018
2016;PD Historia contemporánea;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;15;9;14;60.00;29/04/2018
2016;PD Historia del arte;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;11;18;55.00;29/04/2018
2016;PD Historia, sociedad y cultura: épocas medieval y moderna;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;8;4;7;50.00;29/04/2018
2016;PD Lingüística hispánica;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;9;13;36.00;29/04/2018
2016;PD Bioquímica y biología molecular;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;21;33;70.00;29/04/2018
2016;PD Calidad, seguridad y tecnología de los alimentos;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;14;17;70.00;29/04/2018
2016;PD Ciencia analítica en química;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;10;10;50.00;29/04/2018
2016;PD Física;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;50;18;28;36.00;29/04/2018
2016;PD Geología;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;11;11;21;100.00;29/04/2018
2016;PD Matemáticas y estadística;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;3;1;3;33.33;29/04/2018
2016;PD Producción animal;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;6;2;3;33.33;29/04/2018
2016;PD Química física;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;3;4;30.00;29/04/2018
2016;PD Química inorgánica;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;18;17;22;94.44;29/04/2018
2016;PD Química orgánica;Zaragoza;Escuela de Doctorado;Facultad;Doctorado;12;6;9;50.00;29/04/2018
