CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2018;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Facultad;Grado;60;37;239;61.67;05/01/2020
2018;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;160;160;1973;100.00;05/01/2020
2018;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Centro adscrito;Grado;54;55;1359;101.85;05/01/2020
2018;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Centro adscrito;Grado;35;33;1138;94.29;05/01/2020
2018;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;50;49;196;98.00;05/01/2020
2018;Grado: Psicología;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;85;84;886;98.82;05/01/2020
2018;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;59;323;98.33;05/01/2020
2018;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;60;596;100.00;05/01/2020
2018;Grado: Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;36;19;143;52.78;05/01/2020
2018;Grado: Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;60;59;1363;98.33;05/01/2020
2018;Grado: Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;80;78;735;97.50;05/01/2020
2018;Grado: Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;182;948;101.11;05/01/2020
2018;Grado: Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;75;74;528;98.67;05/01/2020
2018;Grado: Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;Facultad;Grado;60;58;575;96.67;05/01/2020
2018;Grado: Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;70;70;689;100.00;05/01/2020
2018;Grado: Geología;Zaragoza;Facultad de Ciencias;Facultad;Grado;67;47;162;70.15;05/01/2020
2018;Grado: Óptica y Optometría;Zaragoza;Facultad de Ciencias;Facultad;Grado;60;58;537;96.67;05/01/2020
2018;Grado: Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;Facultad;Grado;240;239;1392;99.58;05/01/2020
2018;Grado: Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;130;703;108.33;05/01/2020
2018;Grado: Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;113;619;94.17;05/01/2020
2018;Grado: Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;Facultad;Grado;120;120;965;100.00;05/01/2020
