CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;PRELA_CONVO_NOTA_DEF;NOTA_CORTE_DEFINITIVA_JULIO;NOTA_CORTE_DEFINITIVA_SEPTIEMBRE;FECHA_ACTUALIZACION
2017;Grado: Ingeniería Electrica;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;13/01/2019
2017;Grado: Ingeniería Electrónica y Automática;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.576;13/01/2019
2017;Grado: Ingeniería Electrónica y Automática;Teruel;Escuela Universitaria Politécnica de Teruel;;5.000;;13/01/2019
2017;Grado: Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;;9.691;;13/01/2019
2017;Grado: Ingeniería Informática;Teruel;Escuela Universitaria Politécnica de Teruel;;5.000;9.537;13/01/2019
2017;Grado: Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;13/01/2019
2017;Grado: Ingeniería Mecatrónica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;5.000;;13/01/2019
2017;Grado: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;13/01/2019
2017;Grado: Lenguas Modernas;Zaragoza;Facultad de Filosofía y Letras;;5.000;;13/01/2019
2017;Grado: Programa conjunto ADE/Derecho;Zaragoza;Facultad de Derecho;;11.292;;13/01/2019
2017;Grado: Estudios en Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.662;;13/01/2019
2017;Grado: Programa conjunto Física-Matemáticas (FisMat);Zaragoza;Facultad de Ciencias;;13.254;;13/01/2019
