CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2017;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;05/01/2020
2017;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Graduado;Hombres;43;0;0;0;4.41;93.03;05/01/2020
2017;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Graduado;Mujeres;9;0;0;0;4.25;95.40;05/01/2020
2017;Huesca;Grado: Enfermería;Grado;Abandono Voluntario;Hombres;0;2;1;0;;;05/01/2020
2017;Huesca;Grado: Enfermería;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;05/01/2020
2017;Huesca;Grado: Enfermería;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;0;0;;;05/01/2020
2017;Huesca;Grado: Enfermería;Grado;Graduado;Hombres;8;0;0;0;4.12;95.71;05/01/2020
2017;Huesca;Grado: Enfermería;Grado;Graduado;Mujeres;44;0;0;0;4.00;98.08;05/01/2020
2017;Huesca;Grado: Gestión y Administración Pública;Grado;Abandono Voluntario;Hombres;0;7;6;0;;;05/01/2020
2017;Huesca;Grado: Gestión y Administración Pública;Grado;Abandono Voluntario;Mujeres;0;8;1;0;;;05/01/2020
2017;Huesca;Grado: Gestión y Administración Pública;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;05/01/2020
2017;Huesca;Grado: Gestión y Administración Pública;Grado;Graduado;Hombres;3;0;0;0;8.00;78.24;05/01/2020
2017;Huesca;Grado: Gestión y Administración Pública;Grado;Graduado;Mujeres;3;0;0;0;5.00;75.32;05/01/2020
2017;Huesca;Grado: Gestión y Administración Pública;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;05/01/2020
2017;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Abandono Voluntario;Hombres;0;12;3;0;;;05/01/2020
2017;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Abandono Voluntario;Mujeres;0;4;1;0;;;05/01/2020
2017;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Graduado;Hombres;14;0;0;0;5.09;79.32;05/01/2020
2017;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Graduado;Mujeres;9;0;0;0;5.67;77.05;05/01/2020
2017;Huesca;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Hombres;0;6;4;0;;;05/01/2020
2017;Huesca;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Mujeres;0;19;6;0;;;05/01/2020
