CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2017;Grado: Relaciones Laborales y Recursos Humanos;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;176;857;97.78;13/01/2019
2017;Grado: Turismo;Zaragoza;Escuela Universitaria de Turismo de Zaragoza;Centro adscrito;Grado;80;47;460;58.75;13/01/2019
2017;Grado: Ingeniería Agroalimentaria y del Medio Rural;Huesca;Escuela Politécnica Superior;Facultad;Grado;50;24;129;48.00;13/01/2019
2017;Grado: Ingeniería Civil;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;54;9;76;16.67;13/01/2019
2017;Grado: Arquitectura Técnica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;54;12;71;22.22;13/01/2019
2017;Grado: Ingeniería de Organización Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;60;39;120;65.00;13/01/2019
2017;Grado: Ingeniería de Tecnologías Industriales;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;180;173;695;96.11;13/01/2019
2017;Grado: Ingeniería de Tecnologías y Servicios de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;90;468;100.00;13/01/2019
2017;Grado: Ingeniería Electrica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;65;388;72.22;13/01/2019
2017;Grado: Ingeniería Electrónica y Automática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;120;120;616;100.00;13/01/2019
2017;Grado: Ingeniería Electrónica y Automática;Teruel;Escuela Universitaria Politécnica de Teruel;Escuela Universitaria;Grado;30;19;81;63.33;13/01/2019
2017;Grado: Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;90;594;100.00;13/01/2019
2017;Grado: Ingeniería Informática;Teruel;Escuela Universitaria Politécnica de Teruel;Escuela Universitaria;Grado;33;33;191;100.00;13/01/2019
2017;Grado: Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;240;213;762;88.75;13/01/2019
2017;Grado: Ingeniería Mecatrónica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;60;56;203;93.33;13/01/2019
2017;Grado: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;73;470;81.11;13/01/2019
2017;Grado: Lenguas Modernas;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;55;53;269;96.36;13/01/2019
2017;Grado: Programa conjunto ADE/Derecho;Zaragoza;Facultad de Derecho;Facultad;Grado;80;79;367;98.75;13/01/2019
2017;Grado: Estudios en Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;70;70;310;100.00;13/01/2019
2017;Grado: Programa conjunto Física-Matemáticas (FisMat);Zaragoza;Facultad de Ciencias;Facultad;Grado;10;10;190;100.00;13/01/2019
2017;Máster: Biología Molecular y Celular;Zaragoza;Facultad de Ciencias;Facultad;Máster;30;16;34;53.33;13/01/2019
2017;Máster: Física y Tecnologías Físicas;Zaragoza;Facultad de Ciencias;Facultad;Máster;30;11;21;36.67;13/01/2019
2017;Máster: Gestión del Patrimonio Cultural;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;35;26;93;74.29;13/01/2019
2017;Máster: Tec.Información Geográfica para Ordenación Territorio: Sig/Teled;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;25;25;63;100.00;13/01/2019
2017;Máster: Gerontología Social;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Máster;36;38;128;105.56;13/01/2019
2017;Máster: Relaciones de Género;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Máster;30;29;63;96.67;13/01/2019
2017;Máster: Contabilidad y finanzas;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;30;19;64;63.33;13/01/2019
2017;Máster: Economía;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;30;9;38;30.00;13/01/2019
2017;Máster: Iniciación a la investigación en Medicina;Zaragoza;Facultad de Medicina;Facultad;Máster;60;60;82;100.00;13/01/2019
2017;Máster: Nutrición animal;Zaragoza;Facultad de Veterinaria;Facultad;Máster;30;20;22;66.67;13/01/2019
2017;Máster: Ingeniería biomédica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;33;73;110.00;13/01/2019
2017;Máster: Dirección y planificación del turismo;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Máster;30;18;85;60.00;13/01/2019
2017;Máster: Materiales nanoestructurados para aplicaciones nanotecnológicas;Zaragoza;Facultad de Ciencias;Facultad;Máster;25;14;31;56.00;13/01/2019
2017;Máster: Sociología de las Políticas Públicas y Sociales;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;25;16;48;64.00;13/01/2019
2017;Máster: Aprendizaje a lo largo de la vida: Iniciación a la investigación;Zaragoza;Facultad de Educación;Facultad;Máster;40;18;61;45.00;13/01/2019
2017;Máster: Investigación y Estudios Avanzados en Historia;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;40;9;19;22.50;13/01/2019
2017;Máster: Estudios Avanzados en Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;35;9;25;25.71;13/01/2019
2017;Máster: Energías Renovables y Eficiencia Energética;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;75;23;79;30.67;13/01/2019
2017;Máster: Historia Contemporánea;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;40;14;29;35.00;13/01/2019
2017;Máster: Ordenación Territorial y Medioambiental;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;25;16;34;64.00;13/01/2019
2017;Máster: Ingeniería Electrónica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;13;27;43.33;13/01/2019
2017;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Zaragoza;Facultad de Educación;Facultad;Máster;495;485;844;97.98;13/01/2019
2017;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Máster;20;19;49;95.00;13/01/2019
2017;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Máster;20;18;33;90.00;13/01/2019
2017;Máster: Salud pública;Zaragoza;Facultad de Medicina;Facultad;Máster;30;23;82;76.67;13/01/2019
2017;Máster: Cond. genéticos, nutric. y amb. del crec. y desarrollo;Zaragoza;Facultad de Medicina;Facultad;Máster;25;27;76;108.00;13/01/2019
2017;Máster: Prevención de riesgos laborales;Zaragoza;Facultad de Derecho;Facultad;Máster;30;25;60;83.33;13/01/2019
2017;Máster: Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;80;55;58;68.75;13/01/2019
2017;Máster: Modelización e Investigación Matemática, Estadística y Computación;Zaragoza;Facultad de Ciencias;Facultad;Máster;17;12;27;70.59;13/01/2019
2017;Máster: Abogacía;Zaragoza;Facultad de Derecho;Facultad;Máster;100;79;174;79.00;13/01/2019
2017;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Máster;20;18;75;90.00;13/01/2019
2017;Máster: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;40;13;25;32.50;13/01/2019
2017;Máster: Ingeniería Industrial;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;240;107;153;44.58;13/01/2019
2017;Máster: Ingeniería de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;60;9;11;15.00;13/01/2019
2017;Máster: Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;60;10;18;16.67;13/01/2019
